"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","GeneSymbol","Chromosome","Class","Strand"
"ENSG00000185246",2338.92531840143,1.23252043303452,0.0768440709631728,4.92960250397074e-59,7.02292299583547e-56,"PRPF39","14:45084099-45116282","protein_coding","+"
"ENSG00000223764",488.93922011212,-1.71863970390039,0.107334021037055,8.98488803778036e-59,1.19469061275686e-55,"LINC02593","1:916865-921016","lncRNA","-"
"ENSG00000055163",2708.74810676663,1.14326277717786,0.0719412503610384,4.09003652233157e-58,5.09848615236895e-55,"CYFIP2","5:157266079-157395595","protein_coding","+"
"ENSG00000104687",32756.3419728199,0.620253852892051,0.0392686641042713,2.57029066604627e-57,3.01555572554664e-54,"GSR","8:30678066-30727846","protein_coding","-"
"ENSG00000100889",961.603516762896,-1.37805144510751,0.0880764345413304,3.53315023257807e-56,3.91492674382053e-53,"PCK2","14:24094053-24110598","protein_coding","+"
"ENSG00000179222",3551.89797083823,-1.02557516789843,0.066098953634032,2.70728182337833e-55,2.84193347196215e-52,"MAGED1","X:51803007-51902357","protein_coding","+"
"ENSG00000173540",1324.0383966375,-0.963410245972626,0.0632156482099728,1.60229967790899e-53,1.59789335379474e-50,"GMPPB","3:49716844-49723951","protein_coding","-"
"ENSG00000157168",7740.79196007744,0.664812162060144,0.0437301043519872,7.52436778604632e-53,7.14635788060447e-50,"NRG1","8:31639222-32855666","protein_coding","+"
"ENSG00000214717",2049.77449868864,-0.857888118890935,0.0572810586562501,1.15028829716848e-51,1.0428409130466e-48,"ZBED1","X:2486414-2500976","protein_coding","-"
"ENSG00000110172",5173.57256634074,0.809948358045441,0.0546907353063346,6.31502426787856e-50,5.47622430534078e-47,"CHORDC1","11:90200429-90223077","protein_coding","-"
"ENSG00000131051",10735.4933679973,0.553199706540108,0.0376990287168717,1.66329420271564e-49,1.38226678638181e-46,"RBM39","20:35701347-35742312","protein_coding","-"
"ENSG00000006062",9689.0185989206,0.901981159616918,0.0617874362780884,2.41878920989213e-49,1.92971003165194e-46,"MAP3K14","17:45263119-45317029","protein_coding","-"
"ENSG00000245532",29170.3273659134,-1.34867489548148,0.0933746507342224,1.78612322765125e-48,1.37016260675016e-45,"NEAT1","11:65422774-65445540","lncRNA","+"
"ENSG00000182704",13887.0446037054,-0.49785339519789,0.034478829642201,6.05201207302225e-48,4.47064373320106e-45,"TSKU","11:76782251-76798153","protein_coding","+"
"ENSG00000113583",1940.04154750575,-1.12223438871884,0.0803829807534904,1.98141613917259e-45,1.4114051748499e-42,"C5orf15","5:133955510-133968674","protein_coding","-"
"ENSG00000174327",545.852867407829,-1.22502606438727,0.0882672086537553,7.26097915865879e-45,4.9938010110155e-42,"SLC16A13","17:7036075-7040121","protein_coding","+"
"ENSG00000204175",1513.00527212721,-0.93904613149205,0.0678511659994784,1.52888562876137e-44,1.01645412885485e-41,"GPRIN2","10:46549044-46555530","protein_coding","-"
"ENSG00000156697",2853.73592025996,0.713403571469711,0.0517637847046359,3.58870217348068e-44,2.30892467258297e-41,"UTP14A","X:129906121-129929761","protein_coding","+"
"ENSG00000124762",7822.54039518997,0.793290559122498,0.0577656909326369,4.26423244636052e-44,2.65781612945814e-41,"CDKN1A","6:36676460-36687339","protein_coding","+"
"ENSG00000112972",12043.3951129626,0.684154663145194,0.0529997294589354,3.00392511169243e-39,1.81555413190017e-36,"HMGCS1","5:43287470-43313512","protein_coding","-"
"ENSG00000279605",563.119637492513,1.25103296814959,0.097015422937324,3.72607778280755e-39,2.18578298170872e-36,"AC067930.5","8:143578358-143583304","TEC","+"
"ENSG00000049239",1616.23874146899,-0.936717350976422,0.0726481052554261,4.06457898943715e-39,2.31622936983783e-36,"H6PD","1:9234775-9271337","protein_coding","+"
"ENSG00000160200",765.231784233239,-1.38300649387266,0.107775266553203,7.6128788506044e-39,4.2177463520918e-36,"CBS","21:43053191-43076943","protein_coding","-"
"ENSG00000260804",1222.2375514249,0.885835869359319,0.0690004647679369,9.74948219411237e-39,5.25549790166409e-36,"LINC01963","2:216217045-216220192","lncRNA","+"
"ENSG00000164733",17741.0811924531,-0.478889369786148,0.0372629912939421,2.38293476478273e-38,1.25072720746294e-35,"CTSB","8:11842524-11869448","protein_coding","-"
"ENSG00000159388",666.902194867481,1.2368825186404,0.0973616244224736,4.45343783041105e-38,2.27753378275765e-35,"BTG2","1:203305491-203309602","protein_coding","+"
"ENSG00000115419",12784.1487867263,0.889427516365018,0.0699164960536809,4.84805607545253e-38,2.41736196062252e-35,"GLS","2:190880827-190965552","protein_coding","+"
"ENSG00000102181",5737.99353507775,-0.563411524245981,0.0441632011196327,5.73528758761822e-38,2.79000758378159e-35,"CD99L2","X:150766336-150898816","protein_coding","-"
"ENSG00000101224",13917.4563821635,-0.573360465284077,0.045331086628953,1.67405725788988e-37,7.94977904966992e-35,"CDC25B","20:3786772-3806121","protein_coding","+"
"ENSG00000130635",1216.42945757792,-1.31589324480045,0.104639440249812,2.48287012318123e-37,1.1516475489965e-34,"COL5A1","9:134641774-134844843","protein_coding","+"
"ENSG00000175592",1649.88422823925,1.11444480305704,0.0890427442255239,4.65436648813749e-37,2.10980317286141e-34,"FOSL1","11:65892049-65900573","protein_coding","-"
"ENSG00000145632",9389.55194153315,0.691841275432457,0.0552213811576629,7.70760998166992e-37,3.41618402409792e-34,"PLK2","5:58453982-58460139","protein_coding","-"
"ENSG00000140525",5389.15863192278,-0.913595511467499,0.0736459828057746,2.13360840889371e-36,9.25104776421415e-34,"FANCI","15:89243949-89317261","protein_coding","+"
"ENSG00000130985",13030.6515294286,-0.402303015168038,0.0324675639898842,2.45819799856286e-36,1.04316508683694e-33,"UBA1","X:47190861-47215128","protein_coding","+"
"ENSG00000188938",2221.12235304986,-0.694804682000422,0.0560006192991963,4.24904239595112e-36,1.76556563723427e-33,"FAM120AOS","9:93431441-93453581","protein_coding","-"
"ENSG00000271303",27905.6179053056,0.515856467738249,0.0419050531871581,1.57199999598179e-35,6.3986816162973e-33,"SRXN1","20:646615-653370","protein_coding","-"
"ENSG00000148843",5655.81753142203,0.733270601788071,0.059865367199159,1.81477935065973e-35,7.23915482978166e-33,"PDCD11","10:103396626-103446294","protein_coding","+"
"ENSG00000258441",1093.20358388044,1.01880989201456,0.0836747222126502,3.37898549077283e-35,1.32144834536204e-32,"LINC00641","14:21200079-21206900","lncRNA","-"
"ENSG00000173530",2042.30359901895,0.657715978818131,0.0538226727486802,1.28033790117807e-34,4.83836919094843e-32,"TNFRSF10D","8:23135588-23164027","protein_coding","-"
"ENSG00000243279",856.421097242443,-0.86464836794491,0.07163067138803,1.28570352028211e-34,4.83836919094843e-32,"PRAF2","X:49071161-49074002","protein_coding","-"
"ENSG00000153914",5369.70441670032,0.918730125988889,0.0760235349575914,1.38969724660877e-34,5.13287251548369e-32,"SREK1","5:66139971-66183615","protein_coding","+"
"ENSG00000023445",3153.03899020988,1.25873064673413,0.104868743477683,2.74492805168366e-34,9.95410727106012e-32,"BIRC3","11:102317450-102339403","protein_coding","+"
"ENSG00000132485",1496.34922361041,-0.927162031359932,0.0773158242674491,3.96203280254901e-34,1.41112043297928e-31,"ZRANB2","1:71063291-71081289","protein_coding","-"
"ENSG00000077150",5515.80766253335,0.800349558761945,0.0668255240065028,4.34731898693307e-34,1.52118030165579e-31,"NFKB2","10:102394110-102402524","protein_coding","+"
"ENSG00000103507",1740.690399679,-0.883663133505367,0.0744651593893123,1.84661841315929e-33,6.35013866387276e-31,"BCKDK","16:31106107-31112791","protein_coding","+"
"ENSG00000110721",2136.00527225546,0.768672322504377,0.0647199287190763,2.55448575138979e-33,8.63546073075753e-31,"CHKA","11:68052859-68121444","protein_coding","-"
"ENSG00000172602",832.360004237185,-1.00193899959272,0.0847911080302912,3.40046909471732e-33,1.13037260156895e-30,"RND1","12:48857145-48865870","protein_coding","-"
"ENSG00000108829",16517.3358942174,0.390393386553865,0.032949390966045,5.01588639247281e-33,1.64003039504705e-30,"LRRC59","17:50375059-50397523","protein_coding","-"
"ENSG00000234771",1014.86957639758,0.931895646799829,0.0793584498487105,7.09032930166506e-33,2.28091319228564e-30,"SLC25A25-AS1","9:128108581-128118693","lncRNA","-"
"ENSG00000000971",1462.86119022186,-0.843890007954674,0.072251909924969,1.42440607737868e-32,4.43902800208091e-30,"CFH","1:196651878-196747504","protein_coding","+"
"ENSG00000037474",7620.45811506751,0.623723885782647,0.0531808335271918,1.41610555667409e-32,4.43902800208091e-30,"NSUN2","5:6599239-6633291","protein_coding","-"
"ENSG00000144895",4592.88559610088,0.579753987335871,0.0494783626880726,1.91975042606903e-32,5.89068034583796e-30,"EIF2A","3:150546678-150586016","protein_coding","+"
"ENSG00000026103",742.542765733746,0.972950495204352,0.0851488007659041,2.65671419960728e-31,8.0285098047223e-29,"FAS","10:88990531-89017059","protein_coding","+"
"ENSG00000235609",487.851144083922,1.61571517390469,0.142556231897551,5.0088052533336e-31,1.49105404145879e-28,"AF127577.4","21:14818843-15014430","lncRNA","-"
"ENSG00000119953",2263.07831259452,0.666498440904881,0.0580834959003812,5.30318261957964e-31,1.55547025511053e-28,"SMNDC1","10:110290730-110304951","protein_coding","-"
"ENSG00000125841",2161.06126486559,-1.0186023375497,0.0895705352952536,6.29865819037106e-31,1.82067735662248e-28,"NRSN2","20:346782-359660","protein_coding","+"
"ENSG00000112576",16983.6203669638,0.553482267980719,0.0484031352197076,6.44192663023583e-31,1.83548895200077e-28,"CCND3","6:41934933-42050357","protein_coding","-"
"ENSG00000280385",592.947716567937,1.35122589819844,0.119307421406238,7.54730689232279e-31,2.12015543616026e-28,"AP000648.3","11:90193614-90198120","TEC","+"
"ENSG00000168883",5006.68249462647,0.404223357430833,0.0354342994134695,2.26782185078749e-30,6.2821815019384e-28,"USP39","2:85602856-85649283","protein_coding","+"
"ENSG00000197457",781.692272795348,1.16633832700287,0.104252041487296,3.35215267066855e-30,9.15872397486085e-28,"STMN3","20:63639705-63657682","protein_coding","-"
"ENSG00000105974",17290.8878287665,0.545087751537142,0.0484353536510604,4.10204840884543e-30,1.10561291235706e-27,"CAV1","7:116525001-116561184","protein_coding","+"
"ENSG00000120915",406.214635799323,-2.01000433273492,0.181174686208696,5.04008584184366e-30,1.34032682820762e-27,"EPHX2","8:27490779-27545564","protein_coding","+"
"ENSG00000005884",14324.7798006943,-0.724309687584364,0.0651185000717655,6.4128600486462e-30,1.68295386408222e-27,"ITGA3","17:50055968-50090481","protein_coding","+"
"ENSG00000101255",4056.98798616544,-0.530928787513364,0.047603040164367,1.25322046577187e-29,3.24616651815843e-27,"TRIB3","20:362835-397559","protein_coding","+"
"ENSG00000146909",2649.80085942932,0.972718638984786,0.0879335095602804,1.3798593069399e-29,3.4837080856856e-27,"NOM1","7:156949712-156973176","protein_coding","+"
"ENSG00000244165",341.222085939133,1.94415707697261,0.175977516566373,1.37946332152897e-29,3.4837080856856e-27,"P2RY11","19:10111693-10115372","protein_coding","+"
"ENSG00000063046",33532.5061309417,0.48170046915036,0.0425370051395852,1.65418256864081e-29,4.12408391644263e-27,"EIF4B","12:53006158-53042209","protein_coding","+"
"ENSG00000183048",2337.10986925672,-0.921802849985107,0.0835804300145758,2.89424870623732e-29,7.12664079579054e-27,"SLC25A10","17:81712236-81721016","protein_coding","+"
"ENSG00000120694",11314.2063643567,0.485907266429646,0.0436621261478044,4.95954599700411e-29,1.20631884036887e-26,"HSPH1","13:31134974-31162388","protein_coding","-"
"ENSG00000160211",84678.831287235,-0.412800488114279,0.0374469136923743,8.03742179738379e-29,1.93140214155205e-26,"G6PD","X:154531391-154547572","protein_coding","-"
"ENSG00000167306",860.21172618434,1.20055950562093,0.110564800836354,1.16950812642785e-28,2.77688566447661e-26,"MYO5B","18:49822789-50195147","protein_coding","-"
"ENSG00000118762",1636.58918245825,-0.956787246863363,0.0881169645507659,1.19965002916591e-28,2.81494350961343e-26,"PKD2","4:88007635-88077777","protein_coding","+"
"ENSG00000101109",2296.17256759678,-0.872887673807193,0.0802821806671762,1.40190893319933e-28,3.2512876363559e-26,"STK4","20:44966479-45080021","protein_coding","+"
"ENSG00000249859",1859.86125069888,0.798371366281597,0.0739105058946864,3.07467848495295e-28,7.04878877958467e-26,"PVT1","8:127794526-128187101","lncRNA","+"
"ENSG00000177646",1196.13882994934,-0.765246909111412,0.07088414691821,3.97488523242409e-28,9.00898704098845e-26,"ACAD9","3:128879596-128916067","protein_coding","+"
"ENSG00000042445",1450.08004831656,-0.601643930894726,0.0557133980053577,4.53779674050472e-28,1.01692534819513e-25,"RETSAT","2:85341955-85354531","protein_coding","-"
"ENSG00000111641",7948.23529135424,0.773772807800583,0.0718990524136669,5.48964248692835e-28,1.21656577113095e-25,"NOP2","12:6556863-6568691","protein_coding","-"
"ENSG00000204619",1347.78796099655,-0.711853270772671,0.0662758033544341,6.90145476767884e-28,1.51263203671818e-25,"PPP1R11","6:30066709-30070333","protein_coding","+"
"ENSG00000108828",10992.9800468786,-0.542411033140622,0.0503836540494468,8.79187292643492e-28,1.9060207121494e-25,"VAT1","17:43014607-43025123","protein_coding","-"
"ENSG00000105825",3433.58748760775,0.59729000640766,0.0555518249202586,1.00502216639775e-27,2.15088753527546e-25,"TFPI2","7:93885396-93890753","protein_coding","-"
"ENSG00000123364",1075.26716299885,0.735956455529567,0.0686061067946557,1.01370482986158e-27,2.15088753527546e-25,"HOXC13","12:53938831-53946544","protein_coding","+"
"ENSG00000198074",194214.541140518,0.841604540577287,0.0785019639076449,1.9271595619718e-27,4.04602078563448e-25,"AKR1B10","7:134527567-134541412","protein_coding","+"
"ENSG00000102384",715.863518666998,-1.03204970725993,0.0981048606546539,3.46282270154995e-27,7.19437487316809e-25,"CENPI","X:101098218-101163681","protein_coding","+"
"ENSG00000130741",18365.3750089075,0.35107766022269,0.0328515258865721,7.23850598344806e-27,1.48837115298837e-24,"EIF2S3","X:24054946-24078810","protein_coding","+"
"ENSG00000204843",9198.50138631759,-0.424361819473947,0.0400712154760097,7.9237916666953e-27,1.61265331420651e-24,"DCTN1","2:74361154-74392087","protein_coding","-"
"ENSG00000181026",5253.34916789528,0.548904235189756,0.0521081648782903,1.18861373426278e-26,2.39463645756275e-24,"AEN","15:88621337-88632281","protein_coding","+"
"ENSG00000168497",2414.91463780529,0.616845038801383,0.058827812428501,1.48471775992144e-26,2.96126957216332e-24,"CAVIN2","2:191834310-191847088","protein_coding","-"
"ENSG00000141503",10004.157523023,0.696089750426559,0.0665948071631099,1.90764851439783e-26,3.76713362570938e-24,"MINK1","17:4833340-4898061","protein_coding","+"
"ENSG00000168874",3085.89900848102,0.827906864388786,0.0795591689647648,2.46738309609901e-26,4.82470155408772e-24,"ATOH8","2:85751344-85791383","protein_coding","+"
"ENSG00000103154",764.859290639866,1.67075467539093,0.161752939605797,2.72373121318629e-26,5.27425427640782e-24,"NECAB2","16:83968632-84002776","protein_coding","+"
"ENSG00000113645",5025.89629151693,0.558882444445155,0.0537949427952897,4.84429021681188e-26,9.29032388214547e-24,"WWC1","5:168291651-168472303","protein_coding","+"
"ENSG00000143878",4145.80827265006,-0.675695442914741,0.06584068963362,1.08240031608488e-25,2.05604517183932e-23,"RHOB","2:20447074-20449445","protein_coding","+"
"ENSG00000275993",10571.6715614345,-0.508296271940603,0.0495826223826742,1.15456685254103e-25,2.17243734659725e-23,"SIK1B","21:6111134-6123739","protein_coding","+"
"ENSG00000121895",1490.90639058025,0.71038274502806,0.0693989230813523,1.41111310120346e-25,2.63034119658906e-23,"TMEM156","4:38966744-39032922","protein_coding","-"
"ENSG00000105821",2716.37235646998,0.676111674348284,0.0659512963144346,1.68467811912117e-25,3.1111949153585e-23,"DNAJC2","7:103312289-103344830","protein_coding","-"
"ENSG00000215041",3968.30657345811,0.777004678649042,0.0759458490547719,1.9666125787291e-25,3.59854017272953e-23,"NEURL4","17:7315628-7329393","protein_coding","-"
"ENSG00000175567",2209.46521722533,-1.00851233292321,0.0995422461609422,3.03093106112509e-25,5.49562909219453e-23,"UCP2","11:73974672-73983246","protein_coding","-"
"ENSG00000174669",722.247108341735,-1.04285091732662,0.10289781058998,3.29308955884782e-25,5.91717759019998e-23,"SLC29A2","11:66362521-66372214","protein_coding","-"
"ENSG00000080546",604.425794437463,0.917196591902235,0.090470348613205,3.54010735478154e-25,6.30423582063552e-23,"SESN1","6:108986437-109094819","protein_coding","-"
"ENSG00000124766",1652.24898467955,-0.703528361141874,0.0696236073376197,3.60790306032476e-25,6.36810854320153e-23,"SOX4","6:21592768-21598619","protein_coding","+"
"ENSG00000063322",3999.76745262729,-0.519120582066739,0.0512489680366165,4.12478071472324e-25,7.2165571364171e-23,"MED29","19:39391303-39400637","protein_coding","+"
"ENSG00000011028",5404.09371850714,-0.706671808100583,0.0696823166977745,4.46659351721213e-25,7.74662675659094e-23,"AC080038.1","17:62627670-62693597","protein_coding","+"
"ENSG00000161638",2357.19967574838,-0.627817686105228,0.0619614726286777,4.88718180507583e-25,8.40300354329633e-23,"ITGA5","12:54395261-54419266","protein_coding","-"
"ENSG00000184863",3302.05069723219,0.682184151898602,0.0676682012814296,1.4415290451098e-24,2.45737579527478e-22,"RBM33","7:155644451-155781485","protein_coding","+"
"ENSG00000104805",6912.34643777269,-0.537294406535889,0.0533939085491398,1.47196290064951e-24,2.48799152995377e-22,"NUCB1","19:48900312-48923372","protein_coding","+"
"ENSG00000196878",1363.78420581502,0.713055799587486,0.0709524939005129,1.73062245801524e-24,2.90061049790873e-22,"LAMB3","1:209614870-209652425","protein_coding","-"
"ENSG00000105971",5245.52229727995,0.690206892241013,0.0691372897503144,1.79347103690409e-24,2.98089831925434e-22,"CAV2","7:116287380-116508541","protein_coding","+"
"ENSG00000072786",2074.37088563889,0.989684977902898,0.0993790856756023,1.93530356179684e-24,3.19005202810232e-22,"STK10","5:172042079-172188224","protein_coding","-"
"ENSG00000148798",4628.41904958667,0.827023111228708,0.0834019204146009,2.20075968760661e-24,3.59788130896014e-22,"INA","10:103277138-103290346","protein_coding","+"
"ENSG00000085721",4294.02671211878,0.546652290146407,0.054352801389309,2.27699560415925e-24,3.69225018902083e-22,"RRN3","16:15060022-15094317","protein_coding","-"
"ENSG00000183513",384.179225987344,-1.09828468042696,0.110789808617111,2.66366113276292e-24,4.28441300749649e-22,"COA5","2:98599314-98608515","protein_coding","-"
"ENSG00000138821",1823.9052240514,0.519733772562912,0.0520205224766476,3.04818620701378e-24,4.86368591191119e-22,"SLC39A8","4:102251041-102431258","protein_coding","-"
"ENSG00000163811",7018.37494866635,0.476834394750002,0.0475528699967874,3.83607437326302e-24,6.0722621725977e-22,"WDR43","2:28894667-28948219","protein_coding","+"
"ENSG00000169359",1156.12287625599,-0.875531227063996,0.0889520911743742,4.22421507301199e-24,6.6340133567893e-22,"SLC33A1","3:155821024-155854456","protein_coding","-"
"ENSG00000264112",2073.75400224896,1.17148951425515,0.120142031600998,7.51132913003645e-24,1.17041765233263e-21,"AC015813.1","17:57989039-57994850","lncRNA","-"
"ENSG00000178538",2412.01882409054,0.498441828150987,0.0505217942360324,1.16914200772501e-23,1.80763855380428e-21,"CA8","8:60185412-60281400","protein_coding","-"
"ENSG00000114416",4797.90999634833,0.353367436819921,0.0356668360473901,1.39779787411904e-23,2.14454450763879e-21,"FXR1","3:180868141-180982753","protein_coding","+"
"ENSG00000134882",1221.74103604248,-0.729223464154051,0.0745101552867069,1.4137429691749e-23,2.15245065039644e-21,"UBAC2","13:99200774-99386434","protein_coding","+"
"ENSG00000184216",11155.0737018739,-0.609509718716664,0.0622387071693737,2.50530975232226e-23,3.78548507652027e-21,"IRAK1","X:154010506-154019902","protein_coding","-"
"ENSG00000172201",693.336547940366,0.71018554856913,0.073246344228024,3.43047352409298e-23,5.14442063443868e-21,"ID4","6:19837370-19842197","protein_coding","+"
"ENSG00000145833",9168.67595776061,0.67917912910867,0.0707491989560525,3.72015189677693e-23,5.53719623740416e-21,"DDX46","5:134758771-134855133","protein_coding","+"
"ENSG00000070610",2336.02150200083,0.580671115363839,0.0598155765343563,6.13369065502118e-23,9.06196000847388e-21,"GBA2","9:35736866-35749228","protein_coding","-"
"ENSG00000109586",2575.08357804113,-0.555066438563511,0.0579833513264887,7.37278344036346e-23,1.08125121851507e-20,"GALNT7","4:173168811-173323967","protein_coding","+"
"ENSG00000215193",1510.36926055458,-0.671528248393134,0.0699081802781874,7.87341369764084e-23,1.14624259999596e-20,"PEX26","22:18077920-18131138","protein_coding","+"
"ENSG00000205560",1255.70004132638,0.961429567868135,0.0996424646971638,7.95071972705912e-23,1.14910945620431e-20,"CPT1B","22:50568861-50578465","protein_coding","-"
"ENSG00000254470",1461.85965296759,-0.760053024269079,0.0796173086564412,8.84885204221645e-23,1.26971477684897e-20,"AP5B1","11:65775893-65780802","protein_coding","-"
"ENSG00000150782",2800.04738406169,1.0251532215365,0.107517226000398,1.25683664443376e-22,1.79054334808795e-20,"IL18","11:112143253-112164096","protein_coding","-"
"ENSG00000139178",899.60829836469,-1.09074161476534,0.11468657285193,1.42234096102179e-22,2.01195677075033e-20,"C1RL","12:7089587-7109238","protein_coding","-"
"ENSG00000124664",530.889085567182,-1.25323773212239,0.132091178169915,1.6338554712625e-22,2.29487657565708e-20,"SPDEF","6:34537802-34556333","protein_coding","-"
"ENSG00000136875",4444.89544072729,0.525024679307146,0.0547674533525227,1.69150418433728e-22,2.35923433262987e-20,"PRPF4","9:113275343-113292905","protein_coding","+"
"ENSG00000147536",2143.20989105348,-1.15703785701841,0.122723838625035,3.05028139765163e-22,4.21394986654578e-20,"GINS4","8:41529218-41545030","protein_coding","+"
"ENSG00000157637",5434.45616377555,-0.665108994539693,0.0701172537127486,3.06353838380114e-22,4.21394986654578e-20,"SLC38A10","17:81244811-81295547","protein_coding","-"
"ENSG00000225377",471.711274629375,-1.12939975522675,0.11993925034617,3.39097209903194e-22,4.63239304898576e-20,"NRSN2-AS1","20:316860-348490","lncRNA","-"
"ENSG00000185561",339.228782418395,-1.02785226714038,0.109382435685699,3.66740245309493e-22,4.9759416276856e-20,"TLCD2","17:1702816-1710377","protein_coding","-"
"ENSG00000143367",1932.31466103406,0.551471258653623,0.0582061602348011,4.65185960601689e-22,6.26900944878425e-20,"TUFT1","1:151540305-151583583","protein_coding","+"
"ENSG00000115073",1014.63868296201,-0.883008326495576,0.0942282532932344,6.34237615006871e-22,8.48984512168594e-20,"ACTR1B","2:97655963-97664107","protein_coding","-"
"ENSG00000013563",788.730952312677,-0.813615658422596,0.0868032736134168,6.60171313124899e-22,8.77807789351741e-20,"DNASE1L1","X:154401236-154412112","protein_coding","-"
"ENSG00000116120",4304.64316657235,0.44931253179385,0.0477668114081393,8.81468513642385e-22,1.16429731818526e-19,"FARSB","2:222566899-222656337","protein_coding","-"
"ENSG00000091127",1698.65711667766,-0.66473743426467,0.0707205180974941,1.00102604803009e-21,1.31351740315527e-19,"PUS7","7:105439661-105522271","protein_coding","-"
"ENSG00000033627",4428.15893027125,0.53189976035958,0.0566602327221391,1.14567657153532e-21,1.49349798818771e-19,"ATP6V0A1","17:42458844-42522611","protein_coding","+"
"ENSG00000110104",4667.58475368899,0.430179292783631,0.0461057355929163,1.27118323649722e-21,1.64634737999591e-19,"CCDC86","11:60842113-60851081","protein_coding","+"
"ENSG00000197296",1049.60481929022,-0.621236985810372,0.0664454794314022,1.76154173156783e-21,2.26670644104003e-19,"FITM2","20:44302840-44311202","protein_coding","-"
"ENSG00000156976",6711.28542104982,0.671457103534595,0.0722478948295317,2.29530214998347e-21,2.93460265265515e-19,"EIF4A2","3:186783205-186789897","protein_coding","+"
"ENSG00000148925",1853.37626127913,0.47675845870374,0.0512106374169033,2.80583455246937e-21,3.56448217509565e-19,"BTBD10","11:13388001-13463297","protein_coding","-"
"ENSG00000163251",1501.09680399975,-0.658662586857074,0.0716725871122236,2.9535013790547e-21,3.72832816488898e-19,"FZD5","2:207762598-207769906","protein_coding","-"
"ENSG00000134824",26021.4854513004,-0.572265310718262,0.0623315952844655,4.24576149081882e-21,5.32589389524412e-19,"FADS2","11:61792980-61867354","protein_coding","+"
"ENSG00000170876",2677.93402698907,-0.423765045028438,0.0458719367334906,4.75497422164395e-21,5.92737255316804e-19,"TMEM43","3:14124940-14143679","protein_coding","+"
"ENSG00000068079",478.567198940015,-1.10369733621734,0.120735080401097,5.88645220792639e-21,7.29225399298708e-19,"IFI35","17:43006725-43014456","protein_coding","+"
"ENSG00000099282",5154.29076877104,0.651539799762828,0.0715246643136928,6.23881370953536e-21,7.68105798991869e-19,"TSPAN15","10:69451465-69507666","protein_coding","+"
"ENSG00000115307",7281.3393666449,0.422967904221154,0.0457104977492095,6.64239027266544e-21,8.12775914038725e-19,"AUP1","2:74526645-74529760","protein_coding","-"
"ENSG00000133466",1114.53613682774,-0.655203388020209,0.0718341594870331,6.69271778981597e-21,8.13940587304144e-19,"C1QTNF6","22:37180166-37199385","protein_coding","-"
"ENSG00000178038",698.104557554893,1.03126092202379,0.11336499434231,6.91851090715749e-21,8.3630121238337e-19,"ALS2CL","3:46668995-46693704","protein_coding","-"
"ENSG00000272333",8319.71452890793,0.45082824729325,0.0488683189047751,6.98035823394775e-21,8.38694246843903e-19,"KMT2B","19:35718019-35738878","protein_coding","+"
"ENSG00000179715",3426.35904373865,-0.552783357294523,0.0597433373100739,7.25703830679694e-21,8.66716341491407e-19,"PCED1B","12:47079603-47236662","protein_coding","+"
